"Date and Time","Time (seconds)","iSBJORN19/3-19/4 (lx)"
"2021-03-26 11:11:03",864000.0,184.3423
"2021-03-26 11:41:03",865800.0,210.9691
"2021-03-26 12:11:03",867600.0,192.8219
"2021-03-26 12:41:03",869400.0,192.8219
"2021-03-26 13:11:03",871200.0,192.8219
"2021-03-26 13:41:03",873000.0,210.9691
"2021-03-26 14:11:03",874800.0,192.8219
"2021-03-26 14:41:03",876600.0,210.9691
"2021-03-26 15:11:03",878400.0,220.6734
"2021-03-26 15:41:03",880200.0,220.6734
"2021-03-26 16:11:03",882000.0,192.8219
"2021-03-26 16:41:03",883800.0,192.8219
"2021-03-26 17:11:03",885600.0,220.6734
"2021-03-26 17:41:03",887400.0,184.3423
"2021-03-26 18:11:03",889200.0,192.8219
"2021-03-26 18:41:03",891000.0,220.6734
"2021-03-26 19:11:03",892800.0,4.8261
"2021-03-26 19:41:03",894600.0,4.6138
"2021-03-26 20:11:03",896400.0,4.8261
"2021-03-26 20:41:03",898200.0,4.8261
"2021-03-26 21:11:03",900000.0,4.6138
"2021-03-26 21:41:03",901800.0,4.8261
"2021-03-26 22:11:03",903600.0,4.8261
"2021-03-26 22:41:03",905400.0,4.8261
"2021-03-26 23:11:03",907200.0,4.6138
"2021-03-26 23:41:03",909000.0,4.8261
"2021-03-27 00:11:03",910800.0,4.8261
"2021-03-27 00:41:03",912600.0,4.8261
"2021-03-27 01:11:03",914400.0,4.8261
"2021-03-27 01:41:03",916200.0,4.8261
"2021-03-27 02:11:03",918000.0,4.8261
"2021-03-27 02:41:03",919800.0,4.8261
"2021-03-27 03:11:03",921600.0,192.8219
"2021-03-27 03:41:03",923400.0,201.6915
"2021-03-27 04:11:03",925200.0,210.9691
"2021-03-27 04:41:03",927000.0,210.9691
"2021-03-27 05:11:03",928800.0,184.3423
"2021-03-27 05:41:03",930600.0,184.3423
"2021-03-27 06:11:03",932400.0,220.6734
"2021-03-27 06:41:03",934200.0,220.6734
"2021-03-27 07:11:03",936000.0,201.6915
"2021-03-27 07:41:03",937800.0,210.9691
"2021-03-27 08:11:03",939600.0,220.6734
"2021-03-27 08:41:03",941400.0,201.6915
"2021-03-27 09:11:03",943200.0,220.6734
"2021-03-27 09:41:03",945000.0,201.6915
"2021-03-27 10:11:03",946800.0,220.6734
"2021-03-27 10:41:03",948600.0,220.6734
"2021-03-27 11:11:03",950400.0,192.8219
"2021-03-27 11:41:03",952200.0,192.8219
"2021-03-27 12:11:03",954000.0,210.9691
"2021-03-27 12:41:03",955800.0,192.8219
"2021-03-27 13:11:03",957600.0,192.8219
"2021-03-27 13:41:03",959400.0,192.8219
